boro,Burglary,Criminal Damage,Drugs,Fraud & Forgery,Other Notifiable Offences,Robbery,Sexual Offences,Theft & Handling,Violence Against The Person
Barking and Dagenham,201,152,101,1,22,43,12,515,369
Barnet,401,163,109,1,29,60,34,860,383
Bexley,205,137,95,1,22,27,20,350,230
Brent,302,173,349,,43,83,21,689,534
Bromley,288,163,98,2,34,55,20,663,408
Camden,203,114,193,4,32,71,32,1122,377
Croydon,355,223,197,3,36,98,59,811,579
Ealing,339,180,146,6,45,58,34,893,525
Enfield,320,157,245,,30,79,26,709,355
Greenwich,201,136,147,2,30,43,25,722,421
Hackney,252,135,142,1,34,92,39,948,533
Hammersmith and Fulham,166,114,203,2,34,44,26,773,375
Haringey,283,176,112,1,22,69,39,808,403
Harrow,203,76,93,1,21,34,29,326,299
Havering,191,122,85,,22,23,11,513,267
Hillingdon,312,171,98,1,23,49,21,591,384
Hounslow,239,177,126,4,32,46,24,638,448
Islington,232,139,110,5,37,106,25,1007,440
Kensington and Chelsea,156,54,87,1,16,38,14,904,212
Kingston upon Thames,122,67,65,,7,21,17,373,169
Lambeth,356,172,148,1,39,159,43,1139,632
Lewisham,251,191,144,4,32,104,41,600,507
Merton,156,100,43,2,15,30,14,406,208
Newham,276,161,161,4,35,204,59,1076,582
Redbridge,346,146,170,,24,91,21,639,412
Richmond upon Thames,169,82,60,3,11,14,7,365,155
Southwark,297,225,263,5,41,188,33,1210,529
Sutton,171,116,43,,15,14,18,295,211
Tower and Hamlets,240,162,250,3,30,130,25,878,590
Waltham Forest,247,145,156,2,28,74,52,701,445
Wandsworth,244,143,99,2,23,78,27,876,343
Westminster,326,154,380,8,73,235,46,2718,599
